dst_path,image_path,design_name,file_name,designer
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 B1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 B1.png,678,BH344 B1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 B2.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 B2.png,678,BH344 B2.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 B3.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 B3.png,678,BH344 B3.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 FR.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 FR.png,678,BH344 FR.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 FR1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 FR1.png,678,BH344 FR1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 FULL.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 FULL.png,678,BH344 FULL.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 FULL1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 FULL1.png,678,BH344 FULL1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 HAND.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 HAND.png,678,BH344 HAND.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 HAND1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 HAND1.png,678,BH344 HAND1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 HANDB.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 HANDB.png,678,BH344 HANDB.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 HANDFULL.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 HANDFULL.png,678,BH344 HANDFULL.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\678\BH344 LEFTH.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_678_BH344 LEFTH.png,678,BH344 LEFTH.DST,Bindu
